1,MH529995/2018-19/112597735,7.90000 MAl,0.77000 N,0.38000 L,170.00000 L,5.40000 L,37.00000 VL,14.60000 S,0.56000 D,3.30000 D,1.40000 S,13.20000 S,0.70000 S
2,MH529995/2018-19/112600272,7.90000 MAl,0.43000 N,0.20000 VL,92.00000 VL,8.70000 L,41.00000 VL,13.80000 S,0.26000 D,3.90000 D,1.70000 S,14.00000 S,0.76000 S
3,MH529995/2018-19/112601957,8.10000 MAl,0.36000 N,0.23000 VL,105.00000 VL,3.80000 VL,66.00000 VL,14.30000 S,0.48000 D,3.50000 D,1.50000 S,8.50000 S,0.56000 S
4,MH529995/2018-19/112604243,7.90000 MAl,0.38000 N,0.29000 L,131.00000 VL,3.80000 VL,103.00000 L,14.50000 S,0.40000 D,2.70000 D,1.30000 S,12.00000 S,0.54000 S
5,MH529995/2018-19/112606703,8.04000 MAl,0.32000 N,0.26000 L,118.00000 VL,4.90000 VL,85.00000 L,13.80000 S,0.54000 D,2.50000 D,1.20000 S,11.40000 S,0.36000 D
6,MH529995/2018-19/112614356,7.80000 MAl,0.29000 N,0.41000 L,184.00000 L,3.50000 VL,104.00000 L,5.90000 D,0.40000 D,3.90000 D,2.60000 S,13.70000 S,0.48000 D
7,MH529995/2018-19/112622423,7.90000 MAl,0.32000 N,0.38000 L,170.00000 L,5.70000 L,73.00000 L,8.40000 D,0.64000 S,3.60000 D,3.00000 S,7.10000 S,0.56000 S
8,MH529995/2018-19/112625527,8.04000 MAl,0.35000 N,0.41000 L,184.00000 L,5.40000 L,91.00000 L,8.70000 D,0.58000 D,2.70000 D,3.40000 S,14.50000 S,0.30000 D
9,MH529995/2018-19/112688918,7.90000 MAl,0.28000 N,0.23000 VL,105.00000 VL,11.70000 M,55.00000 VL,9.70000 D,0.74000 S,2.50000 D,1.60000 S,13.50000 S,0.66000 S
10,MH529995/2018-19/112692908,8.06000 MAl,0.29000 N,0.35000 L,157.00000 L,6.00000 L,120.00000 L,10.40000 S,0.38000 D,3.50000 D,1.30000 S,17.30000 S,0.50000 D
11,MH529995/2018-19/112696001,8.10000 MAl,0.27000 N,0.29000 L,131.00000 VL,6.50000 L,99.00000 L,13.20000 S,0.56000 D,2.20000 D,3.60000 S,11.00000 S,0.38000 D
12,MH529995/2018-19/112698571,7.90000 MAl,0.16000 N,0.23000 VL,105.00000 VL,16.60000 M,110.00000 L,14.00000 S,0.36000 D,5.90000 S,2.40000 S,10.60000 S,0.54000 S
13,MH529995/2018-19/112700840,8.00000 MAl,0.28000 N,0.32000 L,144.00000 L,9.80000 L,67.00000 VL,12.10000 S,0.44000 D,4.10000 D,2.80000 S,11.90000 S,0.60000 S
14,MH529995/2018-19/112702189,7.90000 MAl,0.32000 N,0.44000 L,197.00000 L,14.70000 M,103.00000 L,13.70000 S,0.70000 S,3.70000 D,1.70000 S,9.50000 S,0.62000 S
15,MH529995/2018-19/112704186,7.80000 MAl,0.46000 N,0.32000 L,144.00000 L,12.20000 M,91.00000 L,11.20000 S,0.64000 S,4.90000 S,1.50000 S,13.00000 S,0.34000 D
16,MH529995/2018-19/112706077,7.90000 MAl,0.42000 N,0.23000 VL,105.00000 VL,22.30000 M,88.00000 L,10.80000 S,0.48000 D,4.00000 D,1.60000 S,10.10000 S,0.44000 D
